classes,fscore,precision,recall
average,0.919551,0.919551,0.919551
0,0.962963,1.000000,0.928571
1,0.930233,0.909091,0.952381
2,0.935484,0.966667,0.906250
3,0.986301,1.000000,0.972973
4,0.951220,0.951220,0.951220
5,0.988506,0.977273,1.000000
6,0.925373,0.911765,0.939394
7,0.969697,0.969697,0.969697
8,0.924731,0.914894,0.934783
9,0.901099,0.872340,0.931818
a,0.983607,0.967742,1.000000
b,0.898551,0.861111,0.939394
c,0.962963,0.962963,0.962963
d,1.000000,1.000000,1.000000
e,0.958904,1.000000,0.921053
g,0.948718,0.925000,0.973684
h,0.930233,0.909091,0.952381
l,1.000000,1.000000,1.000000
m,0.955556,0.934783,0.977273
n,0.819277,0.739130,0.918919
o,0.981132,1.000000,0.962963
p,0.666667,0.724138,0.617647
q,0.883117,0.894737,0.871795
r,0.984127,0.968750,1.000000
s,0.923077,0.909091,0.937500
u,0.666667,0.800000,0.571429
v,0.943396,0.961538,0.925926
w,0.878049,0.900000,0.857143
y,0.810811,0.833333,0.789474
z,0.925373,0.911765,0.939394
