0	11241	-1072	-5736	16284	391	-150	-86	0	
0	11288	-1092	-5812	16340	472	-133	-119	0	
0	11336	-1000	-5860	16368	540	-122	-1440	0	
0	121803	-12368	-3352	10652	1144	-140	-76	0	
0	121851	-12348	-3544	10552	1205	-61	-30	0	
0	121899	-12340	-3296	10604	1218	-4	-55	0	
0	121947	-12216	-3212	10768	1138	35	-88	0	
0	121995	-12184	-3320	10680	1111	123	-125	0	
0	122044	-12356	-3200	10840	1050	217	-172	0	
0	122093	-12148	-3072	10876	990	307	-167	0	
0	122141	-12184	-3060	10888	898	377	-220	0	
0	122189	-12140	-2952	10928	752	496	-234	0	
0	122238	-12204	-2980	11000	591	587	-511	0	
0	122286	-12076	-2912	10984	422	685	-268	0	
0	122334	-12164	-3000	10880	244	766	-321	0	
0	122383	-12356	-2960	10844	102	878	-304	0	
0	122431	-12392	-2964	10708	-13	911	-368	0	
0	122479	-12336	-3112	10412	-56	1001	-353	0	
0	122528	-12504	-3156	10388	-108	980	-431	0	
0	122576	-12604	-3260	10248	-165	963	-399	0	
0	122625	-12692	-3320	10016	-117	959	-395	0	
0	122673	-12696	-3488	10064	-62	911	-372	0	
0	122721	-13028	-3536	9896	55	863	-349	0	
0	122769	-13004	-3708	9752	128	822	-349	0	
0	122817	-12944	-3816	9824	182	789	-311	0	
0	122866	-13004	-4076	9812	312	663	-252	0	
0	122914	-12896	-3832	9856	416	571	-182	0	
0	122962	-12816	-3840	9528	581	482	-113	0	
0	123010	-12764	-3860	9588	640	378	-61	0	
0	123058	-12900	-3912	9848	727	280	51	0	
0	123106	-12980	-3648	9644	682	190	116	0	
0	123154	-12860	-3704	9800	697	81	204	0	
0	123202	-12872	-3620	9764	773	25	279	0	
0	123250	-12972	-3632	9868	851	-27	328	0	
0	123298	-12900	-3524	9884	910	-55	373	0	
0	123346	-12932	-3424	9988	909	-127	418	0	
0	123394	-12848	-3396	10020	912	-157	472	0	
0	123442	-12852	-3268	10076	964	-172	487	0	
0	123491	-12960	-3152	10028	1012	-193	469	0	
0	123539	-12872	-3120	10184	980	-197	454	0	
0	123588	-12656	-3028	10128	913	-197	425	0	
0	123636	-12728	-3000	10320	882	-190	437	0	
0	123685	-12708	-2912	10188	937	-189	390	0	
0	123733	-12652	-2948	10180	902	-133	331	0	
0	123781	-12652	-2980	10312	862	-73	228	0	
0	123829	-12592	-2908	10192	774	0	169	0	
